"Name" "price1" "price2"
"1" "Co” 7 LIEBFRAUMILCH 1958 Lob" ".75" "16.50"
"2" "9 PIESPORTER PICHTER SPATLESE" "1.09" "24.50"
"4" "5 LIEBFRAUMILCH SPATLESE 1958" "1.09" "24.50"
"5" "> a SPATS ips?" ".55" "29.55"
"8" "583 POUILLY VINZELLES 1959" "1.09" ".24"
"10" "389 POUILLY FUISSE RESSIER 1959" "1.19" "26.50"
"12" "392 MEURSAULT PERRIERES 1955" "1.95" "43.50"
"16" "378 CORTON CHARLEMAGNE 1957" "2.09" "48.75"
"18" "75 307 MEURSAULT Clos des Perrieres" "2.09" "48.75"
"21" "Cl 493 PROVENCE ROSE 1959" "1.09" "24.65"
"23" "394 AGNEAU ROSE Baron Rothschild" "1.09" "24.65"
